180912/arc.lis	17/09/2012	12:00:00	now
280812/arc.lis	20/08/2012	12:00:00	17/09/2012	11:59:59
180812/arc.lis	18/08/2012	12:00:00	20/08/2012	11:59:59
160812/arc.lis	16/08/2012	12:00:00	18/08/2012      11:59:59
130812/arc.lis	13/08/2012	12:00:00	16/08/2012      11:59:59
100812a/arc.lis	09/08/2012	12:00:00	13/08/2012      11:59:59
100812/arc.lis	07/08/2012	12:00:00	09/08/2012      11:59:59
090812/arc.lis	03/08/2012	12:00:00	06/08/2012	11:59:59
050911/arc.lis	05/09/2011	12:00:00	03/08/2012      11:59:59
280611/arc.lis	27/06/2011	12:00:00	04/09/2011	11:59:59
041010/arc.lis	07/10/2010	00:00:00	26/06/2011	11:59:59
200310/arc.lis  30/03/2010	00:00:00	06/10/2010	00:00:00
101109/arc.lis	08/09/2009	00:00:00	29/03/2010	00:00:00
